"","address","city","state","zip","longitude","latitude"
"1","2900 Denali","Anchorage","AK","99503",-149.8767,61.1953
"2","3850 Debarr Road","Anchorage","AK","99508",-149.809,61.2097
"3","1929 Airport Way","Fairbanks","AK","99701",-147.76,64.8366
"4","230 Connector Dr","Auburn","AL","36849",-85.4681,32.6033
"5","224 Daniel Payne Drive N","Birmingham","AL","35207",-86.8317,33.5615
"6","900 16th St S, Commons on Gree","Birmingham","AL","35294",-86.8037,33.5007
"7","5931 Alabama Highway, #157","Cullman","AL","35056",-86.8722,34.2068
"8","2190 Ross Clark Circle","Dothan","AL","36301",-85.4006,31.1904
"9","900 Tyson Rd","Hope Hull (Tyson)","AL","36043",-86.4209,32.1953
"10","4874 University Drive","Huntsville","AL","35816",-86.6556,34.7379
"11","2209 Se Walton Blvd","Bentonville","AR","72712",-94.1883,36.3351
"12","2589 W 6th St","Fayetteville","AR","72704",-94.1966,36.0534
"13","5910 Rogers Ave","Ft Smith","AR","72903",-94.368,35.3609
"14","310 S Shackleford Dr","Little Rock","AR","72211",-92.394,34.7512
"15","43 Bradley Cove Rd","Russellville","AR","72802",-93.09,35.2842
"16","4861 W Sunset Ave","Springdale","AR","72762",-94.1839,36.1753
"17","5104 N State Line","Texarkana","AR","71854",-94.0432,33.3622
"18","8300 State Highway 108","Texarkana","AR","71854",-93.9403,33.5054
"19","3000 Service Loop Rd","West Memphis","AR","72301",-90.1379,35.1532
"20","4121 W Anthem Way","Anthem","AZ","85086",-112.1495,33.871
"21","10623 E Main St","Apache Junction","AZ","85220",-111.6011,33.4146
"22","825 N Ocotillo Rd","Benson","AZ","86502",-110.3071,31.9809
"23","441 S Watson Rd","Buckeye","AZ","85326",-112.5564,33.4435
"24","1762 Highway 95","Bullhead City","AZ","86442",-114.5863,35.1215
"25","1630 W Highway 260","Camp Verde","AZ","86322",-111.8831,34.5767
"26","1851 E Florence Blvd","Casa Grande","AZ","85122",-111.7078,32.8796
"27","1750 W Chandler Blvd","Chandler","AZ","85224",-111.8727,33.3061
"28","7400 W Chandler Blvd","Chandler","AZ","85226",-111.9689,33.3054
"29","Indian Route 7","Chinle","AZ","86503",-109.5634,36.1558
"30","2211 State Route 89a","Cottonwood","AZ","86326",-112.0009,34.7213
"31","401 N Chiricahua Rd","Douglas","AZ","85607",-109.5605,31.3392
"32","16189 S Sunshine Blvd","Eloy","AZ","85131",-111.5504,32.7324
"33","2122 S Milton Road","Flagstaff","AZ","86001",-111.6613,35.179
"34","2306 E Lucky Lane","Flagstaff","AZ","86004",-111.6239,35.1923
"35","4650 N Highway 89 C-32","Flagstaff","AZ","86004",-112.4531,34.8138
"36","Northern Arizona University","Flagstaff","AZ","86011",-111.6556,35.1908
"37","17053 E Shea Blvd","Fountain Hills","AZ","85268",-111.7131,33.5722
"38","1368 N Cooper Rd","Gilbert","AZ","85233",-111.8072,33.3745
"39","1661 E Warner Rd","Gilbert","AZ","85296",-111.753,33.3356
"40","3971 South Gilbert Rd","Gilbert","AZ","85297",-111.7896,33.278
"41","4303 W Peoria Ave","Glendale","AZ","85302",-112.1524,33.5819
"42","9856 W Camelback Rd","Glendale","AZ","85305",-112.272,33.5083
"43","5161 W Thunderbird Rd","Glendale","AZ","85306",-112.1702,33.6107
"44","1218 N Litchfield Rd","Goodyear","AZ","85338",-112.3582,33.46
"45","18875 S I-19 Frontage Rd","Green Valley","AZ","85614",-110.9837,31.9074
"46","2510 Navajo Blvd","Holbrook","AZ","86025",-110.1372,34.9325
"47","3255 E Andy Devine","Kingman","AZ","86401",-114.0084,35.2198
"48","3300 E Andy Devine Ave","Kingman","AZ","86401",-114.0078,35.2204
"49","1620 McCulloch Blvd","Lake Havasu City","AZ","86403",-114.3438,34.4745
"50","Edison Rd & State Road 347","Maricopa","AZ","85139",-112.0478,33.0652
"51","1210 E Main","Mesa","AZ","85203",-111.805,33.4152
"52","1330 S Power Rd","Mesa","AZ","85206",-111.6849,33.3914
"53","1150 S Country Club","Mesa","AZ","85210",-111.8401,33.3942
"54","683 North Grand Ave","Nogales","AZ","85621",-110.9314,31.3441
"55","669 Scenic View Dr","Page","AZ","86040",-111.4752,36.9218
"56","312 S Beeline Hwy","Payson","AZ","85541",-111.3231,34.2383
"57","8737 Nw Grand Ave","Peoria","AZ","85345",-112.2458,33.5883
"58","8131 W Bell Rd","Peoria","AZ","85382",-112.231,33.6381
"59","2801 No Black Canyon","Phoenix","AZ","85009",-112.1126,33.4796
"60","5002 North Seventh St","Phoenix","AZ","85014",-112.065,33.5093
"61","3456 W Bethany Home","Phoenix","AZ","85017",-112.1331,33.524
